uploader_id,channel,channel_id,channel_follower_count,creator,artist,title,thumbnail,id,duration,duration_string,view_count,like_count,comment_count,repost_count,average_rating,categories,tags,language,age_limit,live_status,was_live,availability,playlist,playlist_id,playlist_title,playlist_index,n_entries,fps,resolution,format_id,ext,vcodec,acodec,dynamic_range,aspect_ratio,filesize,tbr,vbr,abr,asr,audio_channels,extractor,extractor_key,webpage_url,original_url,webpage_url_basename,webpage_url_domain,upload_date,timestamp,release_date,release_timestamp,modified_date,license,epoch
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Tartarus 100%,https://i.ytimg.com/vi/gKa4FXKAe1M/sddefault.jpg,gKa4FXKAe1M,142,2:22,12407,449,74,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,663.648,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=gKa4FXKAe1M,https://www.youtube.com/watch?v=gKa4FXKAe1M,watch,youtube.com,20230304,1677909993,,,,,1785167468
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Macabre 100%,https://i.ytimg.com/vi/Z-KmS79FtKA/maxresdefault.jpg,Z-KmS79FtKA,100,1:40,2050,97,43,,,['Gaming'],[],,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,646.502,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=Z-KmS79FtKA,https://www.youtube.com/watch?v=Z-KmS79FtKA,watch,youtube.com,20230228,1677558441,,,,,1785167470
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,oblivion 100%,https://i.ytimg.com/vi/tghZWrA0CYA/sddefault.jpg,tghZWrA0CYA,100,1:40,7726,306,51,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,654.128,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=tghZWrA0CYA,https://www.youtube.com/watch?v=tghZWrA0CYA,watch,youtube.com,20230225,1677315860,,,,,1785167472
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Sonic wave rebirth 100%,https://i.ytimg.com/vi/_ru9N9CvNtw/sddefault.jpg,_ru9N9CvNtw,146,2:26,2695,121,39,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,747.042,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=_ru9N9CvNtw,https://www.youtube.com/watch?v=_ru9N9CvNtw,watch,youtube.com,20230221,1676955804,,,,,1785167474
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,sonic wave 100%,https://i.ytimg.com/vi/NJz3J_tpfnk/maxresdefault.jpg,NJz3J_tpfnk,134,2:14,6454,213,30,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,718.014,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=NJz3J_tpfnk,https://www.youtube.com/watch?v=NJz3J_tpfnk,watch,youtube.com,20230217,1676674557,,,,,1785167476
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,bloodlust 100%,https://i.ytimg.com/vi/Q-r8OBhJI50/maxresdefault.jpg,Q-r8OBhJI50,392,6:32,9881,413,53,,,['Gaming'],[],,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,667.955,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=Q-r8OBhJI50,https://www.youtube.com/watch?v=Q-r8OBhJI50,watch,youtube.com,20230217,1676605911,,,,,1785167478
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,delusion 100%,https://i.ytimg.com/vi/bbujgDL5S28/hqdefault.jpg,bbujgDL5S28,48,48,3425,179,27,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,498.323,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=bbujgDL5S28,https://www.youtube.com/watch?v=bbujgDL5S28,watch,youtube.com,20230212,1676240284,,,,,1785167480
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,cognition 100%,https://i.ytimg.com/vi/J0XOtQC80q4/sddefault.jpg,J0XOtQC80q4,78,1:18,4050,186,30,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,641.862,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=J0XOtQC80q4,https://www.youtube.com/watch?v=J0XOtQC80q4,watch,youtube.com,20230209,1675915697,,,,,1785167482
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Jesse Pinkman 100%,https://i.ytimg.com/vi/cb40dF87Cqw/maxresdefault.jpg,cb40dF87Cqw,91,1:31,3442,155,33,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,724.295,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=cb40dF87Cqw,https://www.youtube.com/watch?v=cb40dF87Cqw,watch,youtube.com,20230205,1675631436,,,,,1785167484
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,crimson planet 100% (My unluckiest experience),https://i.ytimg.com/vi/SEqLdX0VTVE/sddefault.jpg,SEqLdX0VTVE,97,1:37,4693,172,22,,,['Gaming'],[],,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,609.293,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=SEqLdX0VTVE,https://www.youtube.com/watch?v=SEqLdX0VTVE,watch,youtube.com,20230205,1675565987,,,,,1785167485
